university_name,review_timestamp,keywords,sentiment,text
university of queensland,1698973401,"""university,attending,comparable,winters,harsh""",POSITIVE,"""damn this is a very nice campus its so well manicured and well maintained everywhere you go its nice and scenic and so many spots you can sit and relax and enjoy the sights and sounds where i come from due to harsh winters its not comparable i would enjoy attending this university """
university of queensland,1698973404,"""museum,art,facilities,great,staff""",POSITIVE,fantastic school full of kind staff and great facilities their art museum is also fantastic
stanford university,1698973316,"""fall,happen,gonna,whats,guess""",POSITIVE,the architecture is phenomenal  loved the church  the arena and the labs  its summer  so lucky me plenty of parking around  pm on a wednesday so guess whats gonna happen in the fall
university of copenhagen,1698973339,"""place,amazing,seating,uncomfortable,hall""",POSITIVE,beautiful historical building gorgeous conference hall uncomfortable seating amazing place
university of copenhagen,1698973340,"""delighted,sitting,artist,like,feel""",POSITIVE,i feel like an artist when sitting here it made me delighted
university of copenhagen,1698973341,"""features,key,institutions,cultural,museums""",NEUTRAL,copenhagen university is a prestigious public research university in copenhagen denmark founded in  it is the secondoldest university in scandinavia after uppsala university\n\nthe university has six faculties\n\n the faculty of health and medical sciences\n the faculty of science\n the faculty of humanities\n the faculty of social sciences\n the faculty of law\n the faculty of theology\n\nthe university offers a wide range of undergraduate and postgraduate programs both in danish and english it is also home to a number of research centers and institutes\n\ncopenhagen university is a highly ranked university and is consistently ranked among the top  universities in the world it is also a popular choice for international students with over  international students enrolled\n\nthe university is located in the heart of copenhagen and is easily accessible by public transportation the campus is also home to a number of museums and cultural institutions\n\nhere are some of the key features of copenhagen university\n\n founded in \n secondoldest university in scandinavia\n six faculties\n wide range of undergraduate and postgraduate programs\n highly ranked university\n popular choice for international students\n located in the heart of copenhagen
university of pennsylvania,1698973394,"""lucky,student,motivated,people,successful""",POSITIVE,i liked it a lot more than i expected it has this interesting vibe of a very old university the architecture is massive and pretty eclectic but there is some unexplained charm in walking through its wide alleys located close to the center finding street parking wasnt too difficult\n\nof course this is also the legendary ivy league school where trump noam chomsky and elon musk studied this school produced a great amount of super successful people and any motivated student would be very lucky to go here
university of pennsylvania,1698973398,"""columbia,princeton,contest,states,united""",NEUTRAL,the university of pennsylvania penn or upenn is a private ivy league research university located in the university city section of west philadelphia it has been ranked as among the top universities in the us and the world by numerous major education publications university of pennsylvania considers itself the fourtholdest institution of higher education in the united states though this is contest by princeton and columbia universities
university of pennsylvania,1698973401,"""journey,educational,transformative,embark,setting""",NEUTRAL,the university of pennsylvanias campus is a vibrant blend of historic charm and modern innovation nestled in the heart of philadelphia upenns sprawling grounds are adorned with elegant redbrick buildings that exude a sense of academic tradition the lush green spaces such as the iconic college green and locust walk create an inviting atmosphere for students to engage in both intellectual pursuits and social interactions the campus is dotted with cuttingedge facilities and stateoftheart research centers fostering an environment where innovation and collaboration thrive with its rich history architectural beauty and forwardthinking spirit upenns campus offers a dynamic setting for students to embark on a transformative educational journey
new york university (nyu),1698973308,"""topnotch,programs,party,nyc,live""",POSITIVE,its a great institution but their alumni are often saddled with massive debt but hey its an awesome school if you have money its definitely worth it to live in nyc party and go to school their programs are topnotch
zhejiang university,1698973486,"""nicw,view,nice,statue,president""",POSITIVE,i have a lot of memories in this place university are open for tourists come in side and  see big mao president statue nice view nicw memories
zhejiang university,1698973489,"""late,till,open,shops,convenience""",POSITIVE,had a stay here in april  during an esperanto festival it was great and living on campus is just fine you can move around by foot or bike as the area is really calm and free from the noise of car traffic also convenience shops are open till late all across the campus
zhejiang university,1698973493,"""campus,money,want,drink,eat""",NEUTRAL,everything in one university you can study here have fun eat drink do whatever you want if you have enough money everything in one campus
yonsei university,1698973483,"""months,colder,beautiful,feel,gate""",POSITIVE,the place i called home for two years i did my masters here\n\ncampus vibe is definitely elite  speaks glamour and posh has a nice western facade which can be seen a few minutes from the main gate campus is i feel most beautiful during the colder months
yonsei university,1698973486,"""quickly,push,study,hours,library""",MIXED,seriously my biggest dream is to get into this university i want it so much but im very afraid of not being able to get in im in the first year of high school right now and my grades are average but my math is very bad i regret not having studied math from the beginning i cant explain it if i dont start now it will be very difficult to recover later even if i have to stay in the library for hours and study i will push it i cant give up on my dream so quickly
university of southampton,1698973417,"""picture,click,university,rock,iconic""",MIXED,decent campus but didnt find the iconic rock with the university name to click a picture
university of southampton,1698973419,"""center,test,covid,walk,organized""",POSITIVE,super efficient well organized walk in covid test center
seoul national university (snu),1698973315,"""mountain,higher,buildings,seoul,views""",POSITIVE,beautiful university campus great views of seoul from buildings higher on the mountain
mcgill university,1698973302,"""library,redpath,look,outside,architecture""",POSITIVE,the campus is so gorgeous especially on a sunny day we came on a sunday so a lot of the buildings were closed but we were still able to enjoy the architecture from the outside as well as take a look in the redpath library
lomonosov moscow state university,1698973295,"""admirable,study,opportunity,wish""",NEGATIVE,i wish i had the opportunity to study here admirable
carnegie mellon university,1698973274,"""beautiful,campus,design,technology,geospatial""",POSITIVE,i taught here for half a day but ive known faculty here for years their programs are topnotch interdisciplinary and encourage problem solving and critical thinking they also have a keen focus on geospatial technology design and much more  but the campus also is beautiful
university of amsterdam,1698973322,"""time,great,couches,slept,campus""",POSITIVE,nice campus slept on one if their couches had a great time
